# DetMath.sin (spec §4.4): x, sin x.
# Recorded by ios/SmashCore RecordVectors (macOS, arm64). Replayed bit-exactly by SmashCoreTests and android/core.
0000000000000000 0000000000000000
8000000000000000 0000000000000000
01A56E1FC2F8F359 01A56E1FC2F8F359
81A56E1FC2F8F359 81A56E1FC2F8F359
3DDB7CDFD9D7BDBB 3DDB7CDFD9D7BDBB
3FE0000000000000 3FDEAEE8744B05F0
BFE0000000000000 BFDEAEE8744B05F0
3FF0000000000000 3FEAED548F090CEE
BFF0000000000000 BFEAED548F090CEE
C02921FB54442D18 3CC1A62633145C07
C0278FDB9EFFEA46 3FE6A09E667F3BD5
C025FDBBE9BBA775 3FF0000000000000
C0246B9C347764A4 3FE6A09E667F3BCF
C022D97C7F3321D2 BCBA79394C9E8A0A
C021475CC9EEDF00 BFE6A09E667F3BD5
C01F6A7A2955385E BFF0000000000000
C01C463ABECCB2BB BFE6A09E667F3BCB
C01921FB54442D18 3CB1A62633145C07
C015FDBBE9BBA775 3FE6A09E667F3BCE
C012D97C7F3321D2 3FF0000000000000
C00F6A7A2955385E 3FE6A09E667F3BCC
C00921FB54442D18 BCA1A62633145C07
C002D97C7F3321D2 BFE6A09E667F3BCE
BFF921FB54442D18 BFF0000000000000
BFE921FB54442D18 BFE6A09E667F3BCC
0000000000000000 0000000000000000
3FE921FB54442D18 3FE6A09E667F3BCC
3FF921FB54442D18 3FF0000000000000
4002D97C7F3321D2 3FE6A09E667F3BCD
400921FB54442D18 3CA1A62633145C07
400F6A7A2955385E BFE6A09E667F3BCC
4012D97C7F3321D2 BFF0000000000000
4015FDBBE9BBA775 BFE6A09E667F3BCE
401921FB54442D18 BCB1A62633145C07
401C463ABECCB2BB 3FE6A09E667F3BCA
401F6A7A2955385E 3FF0000000000000
4021475CC9EEDF00 3FE6A09E667F3BD4
4022D97C7F3321D2 3CBA79394C9E8A0A
40246B9C347764A4 BFE6A09E667F3BCF
4025FDBBE9BBA775 BFF0000000000000
40278FDB9EFFEA46 BFE6A09E667F3BD5
402921FB54442D18 BCC1A62633145C07
C0278FDB9EFFEA47 3FE6A09E667F3BCA
C0278FDB9EFFEA46 3FE6A09E667F3BD5
C0278FDB9EFFEA45 3FE6A09E667F3BE1
C0246B9C347764A5 3FE6A09E667F3BDA
C0246B9C347764A4 3FE6A09E667F3BCF
C0246B9C347764A3 3FE6A09E667F3BC4
C021475CC9EEDF01 BFE6A09E667F3BC9
C021475CC9EEDF00 BFE6A09E667F3BD5
C021475CC9EEDEFF BFE6A09E667F3BE0
C01C463ABECCB2BC BFE6A09E667F3BD0
C01C463ABECCB2BB BFE6A09E667F3BCB
C01C463ABECCB2BA BFE6A09E667F3BC5
C015FDBBE9BBA776 3FE6A09E667F3BC8
C015FDBBE9BBA775 3FE6A09E667F3BCE
C015FDBBE9BBA774 3FE6A09E667F3BD4
C00F6A7A2955385F 3FE6A09E667F3BCE
C00F6A7A2955385E 3FE6A09E667F3BCC
C00F6A7A2955385D 3FE6A09E667F3BC9
